21
6924	しゃぶしゃぶ	1
6770	しゅん	1
3492	しょ	2
527	しょうが	4
9722	しょうゆ	1
5845	しょぼしょぼ	1
2702	しょんぼり	3
3493	しよう	2
9723	しようが	1
6771	しら	2
6925	しり	3
3752	しわ	1
5846	しわくちゃ	1
3753	しん	3
6772	しんのすけ	1
31	しんみり	1
9724	じい	1
9725	じいちゃん	1
9111	じき	1
8094	じみ	1
6003	じゅうたん	1
2703	じゅず	1
5847	じろう	1
8095	じん	1
1815	す	8
5072	すいか	1
1816	すか	3
528	すき	10
6926	すき焼き	1
32	すぎ	14
8419	すこやか	1
9112	すそ	1
8096	すっぴん	2
3754	すね	2
2704	すべて	8
8420	すま	1
529	すみや	1
3494	すもも	1
8812	すり	1
6004	ずきん	1
5848	ずさん	1
530	せい	18
7418	せっかち	1
33	せつ	1
8715	せり	1
34	せん	3
6773	ぜいたく	1
5073	ぜん	1
531	ぜんざい	1
6774	ぜんしん	1
3755	ぜんどう	1
3756	ぜんぶ	2
532	そ	14
3757	そいつ	3
35	そう	21
36	そこ	19
3758	そこそこ	1
6005	そこら	2
7571	そちら	3
3495	そっ	6
2705	そっち	7
9113	そで	1
8097	そのもの	2
533	その他	8
3496	その後	8
8813	その間	1
8421	その頃	1
1817	そば	8
5074	そもそも	2
3759	そり	2
3760	そりゃ	2
5075	そりゃあ	2
37	それ	21
1818	それぞれ	8
5076	それどころ	2
2706	それなり	4
7572	そん	2
534	そんな	1
535	ぞい	7
6006	たい	1
1819	たいこ	1
3497	たいよう	1
8098	たい頭	1
38	たか	2
3761	たかし	1
6927	たかはし	1
1820	たかみ	1
3498	たく	3
39	たくさん	11
8099	たくま	1
1821	たけ	1
9114	たこ	1
536	ただ	12
9726	ただ今	1
537	たち	15
5849	たて	2
1822	たぬき	1
8814	たね	1
6775	たばこ	2
538	たび	8
1823	たま	14
3499	たみ	1
40	ため	16
5077	ため息	2
3762	たら	3
8100	たる	2
8422	たわし	1
539	たわわ	1
540	たん	13
6928	たんか	1
7573	たんじょう	1
541	だい	8
5078	だいじょうぶ	1
1824	だいたい	3
1825	だし	5
8815	だま	2
542	だめ	12
1826	だらけ	5
41	だれ	9
6929	ちあき	1
543	ちい	3
6776	ちがい	1
8423	ちくしょう	1
2707	ちぐはぐ	2
1827	ちさ	2
3763	ちとせ	1
1828	ちの	4
42	ちび	3
8816	ちびっこ	1
7574	ちまちま	1
544	ちゃ	6
43	ちゃん	18
8716	ちゃんこ	1
9115	ちゃんぽん	1
5079	ちゃーん	1
1829	ちや	1
1830	ちょ	10
3764	ちょう	2
7575	ちり	1
545	ちん	7
8101	ちんちくりん	1
6007	ちんちん	3
8102	ちんぽ	1
2708	ぢ	2
44	っぱなし	4
3765	っぷり	3
45	っ子	4
2709	ついで	8
3766	つえ	2
8103	つがい	1
546	つき	6
6930	つぎ	1
1831	つくば	2
8104	つけ	2
3767	つて	3
7576	つながり	1
8105	つば	1
2710	つばさ	2
8717	つぶ	1
1832	つまみ食い	1
1833	つまり	5
1834	つめ	3
547	つもり	13
8424	つや	2
8106	つゆ	1
8817	つよ	1
1835	つり	1
5850	てる	1
6931	てれ	1
9116	てん	2
8818	てんき	1
3500	てんこ盛り	2
9727	でぶ	1
5080	とい	3
7577	とうもろこし	1
46	とうや	1
47	とき	18
8107	ときめき	1
8425	とくよ	1
48	とこ	15
49	ところ	19
6777	ところどころ	1
5081	とそ	1
3768	とたん	2
8108	とつ	1
5082	とぼけ	1
5083	とも	3
7578	ともだち	1
3769	とら	2
1836	とり	4
7579	とりよ	1
1837	とんこつ	1
548	とんずら	1
6008	とんでも	4
2711	とんぼ	1
3770	どうこう	1
50	どうし	6
5084	どおり	4
6778	どきどき	2
51	どこ	19
549	どころ	3
5085	どじょう	1
52	どちら	8
5851	どっか	5
1838	どっち	12
53	どなた	3
1839	ども	2
2712	どら	1
54	どれ	13
2713	どろどろ	1
1840	どん	8
6009	どんでん返し	1
3771	どんぶり	1
1841	どん底	1
550	なか	8
55	なす	2
3772	なぞなぞ	1
6932	なっちゃん	1
56	なに	16
9117	なほ	1
2714	なみ	4
3773	なめ	1
5086	なめこ	1
3774	ならでは	1
8109	なり	1
551	なん	20
9728	にいさん	1
3775	におい	5
5087	にらめっこ	1
552	にわか	1
5852	にわとり	1
3776	にんじん	1
5853	にんにく	1
8110	ぬい	1
3777	ぬいぐるみ	3
6933	ぬくもり	2
8111	ねえさん	2
2715	ねこ	5
3778	ねじ	1
3779	ねじれ	1
7580	ねた	1
5088	ねつ	1
5089	ねんね	1
57	の	21
3501	のし	1
8819	のぞみ	1
1842	のち	4
3780	のど	1
553	のり	5
58	はいち	1
2716	はげ	1
6010	はしご	1
3781	はしゅ	1
2717	はじめ	6
554	はず	16
8820	はずれ	1
1843	はちまき	1
3502	はっぴ	2
555	はつ	2
6934	はとこ	1
3782	はな	2
3503	はなし	2
8656	はぶ	1
9729	はめ	1
8112	はる	1
1844	はるか	4
1845	はん	3
556	ば	5
1846	ばあちゃん	5
6935	ばい	1
1847	ばか	1
557	ばば	2
6936	ばら	2
5090	ばり	3
3504	ぱそこん	2
8657	ひいき	1
3783	ひえ	2
8113	ひき	1
7581	ひぐらし	1
5091	ひさ	1
8426	ひさこ	1
3784	ひさし	1
8427	ひざ	1
3505	ひじ	1
1848	ひじき	1
2718	ひそか	1
8718	ひだり	1
8428	ひつじ	1
3785	ひと	6
7582	ひとこと	2
59	ひとつ	9
558	ひとり	9
2719	ひと月	1
7583	ひな	1
559	ひま	3
3786	ひやひや	1
5092	ひょっと	1
7584	ひよ	1
8429	ひよこ	2
6779	ひろし	1
560	ひろみ	2
1849	ひ孫	1
7419	びき	2
561	びっくり	8
5093	びん	1
5094	ぴゅあ	1
5854	ふう	2
5855	ふえ	2
7237	ふか	2
8114	ふき	1
6937	ふきん	1
562	ふくろう	1
1850	ふじ	2
3787	ふじょ	1
5095	ふたつ	1
8430	ふたなり	1
3788	ふたり	2
5096	ふだん	1
563	ふつう	2
8115	ふつふつ	1
564	ふつー	3
565	ふみ	1
3506	ふり	6
1851	ふん	3
1852	ぶっきらぼう	1
5097	ぶどう	1
566	ぶり	12
9730	ぶろ	1
6011	ぶん	1
567	ぷかぷか	1
1853	へそ	2
5098	へっぽこ	1
6012	へや	1
568	へん	3
9731	べた	1
9732	べつ	1
6938	べり	1
2720	ぺけ	1
569	ほう	13
6939	ほうとう	1
5099	ほか	4
5100	ほこり	1
7585	ほた	1
570	ほっぺ	1
3789	ほっぺた	1
571	ほのか	1
6013	ほろ酔い	1
2721	ほん	5
1854	ほんと	5
572	ほんとう	8
573	ほんま	4
2722	ぼう	1
574	ぼく	8
575	ぼけ	2
1855	ぼん	2
2723	ぼんやり	3
3790	まあ	1
2724	まき	2
6940	まさ	2
8116	まさよ	1
3791	まし	1
1856	まじ	7
5856	まじめ	1
3792	ます	2
8117	まち	1
576	まつ	3
5101	まつ毛	1
577	まとめ	4
578	まとめ買い	1
1857	まとも	5
3793	まぶた	2
60	まま	15
579	まみ	1
3794	まみれ	2
2725	まめ	3
2726	まゆ	2
3795	まり	1
7586	まりあ	1
5102	まろ	1
6780	まわり	2
1858	まんえん	1
8118	まんなか	1
9733	まんま	1
6941	み	2
3796	みい	1
8119	みいこ	1
2727	みかん	7
3797	みさ	1
2728	みそ	4
61	みたい	21
8821	みだら	1
7587	みち	1
2729	みつ	1
5103	みつば	1
6781	みづき	1
5104	みと	1
2730	みどり	2
1859	みな	2
2731	みなさま	1
2732	みなさん	9
2733	みなと	1
7588	みね	1
3798	みや	1
2734	みよ	1
62	みんな	17
7589	むき	1
9734	むし	1
5105	むしろ	1
9118	むつ	1
6014	むね	1
5106	むら	1
580	め	19
9735	めい	1
1860	めいわく	1
6942	めがね	2
581	めし	3
582	めちゃくちゃ	12
3507	めちゃめちゃ	2
2735	めばち	1
8120	めまい	1
6015	めん	5
3799	もうこ	1
9736	もしか	1
6943	もしゃ	1
583	もち	5
3508	もつ	1
1861	もと	6
63	もの	21
7590	もみ	1
584	もみくちゃ	1
3800	もも	3
8121	ももこ	1
6782	もろもろ	2
64	もん	16
2736	や	4
6016	やかた	1
9119	やかん	1
6017	やけ	1
9120	やご	1
5107	やすみ	1
